"STATION","NAME","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT07","WT07_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES","WT10","WT10_ATTRIBUTES","WT11","WT11_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT15","WT15_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT17","WT17_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-01","6.71",",,W","0.00",",,0,2400","   87",",,W","0.0",",,0","11.0",",,0",,,"31",",,0","14",",,0","  494",",,W",,,"17.0",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-02","8.72",",,W","0.00",",,0,2400","   96",",,W","0.0",",,0","10.0",",,Z",,,"37",",,0","8",",,0","  545",",,W",,,"16.1",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-03","15.21",",,W","0.00",",,0,2400","   90",",,W","0.0",",,0","9.0",",,0",,,"49",",,0","23",",,0","  508",",,W",,,"23.9",",,X","33.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-04","8.72",",,W","0.00",",,0,2400","   86",",,W","0.0",",,0","9.0",",,0",,,"51",",,0","30",",,0","  489",",,W",,,"17.9",",,X","23.0",",,X","    1",",,0","    1",",,X",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-05","13.42",",,W","0.18",",,0,2400","    0",",,W","5.4",",,0","11.0",",,0",,,"30",",,0","13",",,0","    0",",,W",,,"23.9",",,X","28.0",",,X","    1",",,0","    1",",,W",,,,,,,,,,,,,,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,,"    1",",,X"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-06","16.11",",,W","0.01",",,0,2400","   94",",,W","0.2",",,0","14.0",",,0",,,"34",",,0","11",",,0","  535",",,W",,,"38.9",",,X","46.1",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-07","14.32",",,W","0.00",",,0,2400","   93",",,W","0.0",",,0","11.0",",,0",,,"35",",,0","12",",,0","  528",",,W",,,"34.9",",,X","40.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-08","14.09",",,W","0.00",",,0,2400","   89",",,W","0.0",",,0","8.0",",,Z",,,"48",",,0","22",",,0","  507",",,W",,,"32.0",",,X","40.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-09","9.17",",,W","0.00",",,0,2400","   84",",,W","0.0",",,0","7.0",",,0",,,"37",",,0","8",",,0","  483",",,W",,,"21.0",",,X","23.0",",,X","    1",",,0","    1",",,X",,,,,,,,,,,"    1",",,0",,,,,,,"    1",",,X",,,,,,,,,,,,,"    1",",,X"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-10","11.86",",,W","0.00",",,0,2400","   94",",,W","0.0",",,0","7.0",",,0",,,"58",",,0","24",",,0","  537",",,W",,,"25.1",",,X","28.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-11","11.41",",,W","0.00","T,,0,2400","   81",",,W","0.8",",,0","6.0",",,Z",,,"41",",,0","7",",,0","  463",",,W",,,"21.9",",,X","23.9",",,X","    1",",,0",,,,,,,,,"    1",",,0",,,,,,,,,,,"    1",",,X","    1",",,X",,,"    1",",,0",,,"    1",",,0",,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-12","10.07",",,W","0.04",",,0,2400","    0",",,W","0.5",",,0","7.0",",,0",,,"7",",,0","-1",",,0","    0",",,W",,,"17.0",",,X","19.9",",,X","    1",",,0",,,,,,,,,"    1",",,0",,,"    1",",,W",,,,,,,"    1",",,X","    1",",,X","    1",",,X","    1",",,0",,,"    1",",,0",,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-13","5.82",",,W","0.00","T,,0,2400","   90",",,W","0.1",",,0","7.0",",,0",,,"9",",,0","-8",",,0","  521",",,W",,,"13.0",",,X","14.1",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-14","6.71",",,W","0.07",",,0,2400","   32",",,W","1.3",",,0","7.0",",,0",,,"11",",,0","1",",,0","  185",",,W",,,"17.0",",,X","19.9",",,X","    1",",,0",,,,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,,,,,,"    1",",,0",,,"    1",",,X"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-15","11.41",",,W","0.00",",,0,2400","   94",",,W","0.0",",,0","8.0",",,Z",,,"18",",,0","-2",",,0","  546",",,W",,,"17.9",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-16","10.29",",,W","0.00",",,0,2400","   94",",,W","0.0",",,0","8.0",",,Z",,,"26",",,0","4",",,0","  549",",,W",,,"19.9",",,X","21.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2007-01-17","11.18",",,W","0.00",",,0,2400","   97",",,W","0.0",",,0","8.0",",,Z",,,"38",",,0","5",",,0","  563",",,W",,,"23.0",",,X","29.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
